Part Name, Total Quantity Required, Note

Adafruit HUZZAH32, 1, 
HX711 Load Cell Amplifier Module, 1, 
BF-350 Strain Gauges, 4, 
LiPo Battery 1S 1100mAh, 1, 
LED Diode 3mm, 1, 
