Part Name, Total Quantity Required, Note
LilyGo TTGO T7 v1.3 ESP32-WROVER-B + BMS, 1, 
GY-BNO055 9DOF 9-Axis Absolute Orientation IMU, 1, 
103040 LiPo Battery 1S 1200mAh, 1, 
LED Diode 3mm, 1, 
